Track file,G:\Water Maze Data\xxx_0001\data\track_00001.trk
Object,0
Samples,1500
Name,9,
Goal Position,NE,
Comment,,
Trial,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
229,18.2400,163.2373,43.4824,102.0000,center,q4,0.0000,30.4457,67.5392,2.2822,28.5270
230,18.3200,162.1681,44.9081,106.0000,center,q4,0.0000,32.1978,65.7765,1.7821,22.2758
231,18.4000,161.4552,46.6901,106.0000,center,q4,0.0000,34.1116,63.8699,1.9193,23.9918
232,18.4800,160.7424,48.8286,103.0000,center,q4,0.0000,36.3419,61.6517,2.2542,28.1769
233,18.5600,160.3860,50.6107,110.0000,center,q4,0.0000,38.0829,59.9216,1.8174,22.7170
234,18.6400,160.0296,52.7492,103.0000,center,q4,0.0000,40.0993,57.8882,2.1680,27.0997
235,18.7200,159.6732,54.8877,102.0000,center,q4,0.0000,42.1247,55.8650,2.1680,27.0997
236,18.8000,159.3168,56.6697,100.0000,center,q4,0.0000,43.8272,54.1564,1.8174,22.7170
237,18.8800,158.6039,58.4518,100.0000,center,q4,0.0000,45.7210,52.2658,1.9193,23.9918
238,18.9600,157.8911,60.2339,108.0000,center,q4,0.0000,47.6169,50.3774,1.9193,23.9918
239,19.0400,156.8219,61.6595,100.0000,center,q4,0.0000,49.3887,48.6012,1.7821,22.2758
240,19.1200,155.7526,63.0852,110.0000,center,q4,0.0000,51.1611,46.8255,1.7821,22.2758
241,19.2000,154.3270,64.5108,107.0000,center,q4,0.0000,53.1199,44.8637,2.0162,25.2022
242,19.2800,152.5449,65.9365,108.0000,center,q4,0.0000,55.2613,42.7259,2.2822,28.5270
243,19.3600,151.1193,67.3621,109.0000,center,q4,0.0000,57.2129,40.7787,2.0162,25.2022
244,19.4400,149.3372,68.7878,112.0000,center,q4,0.0000,59.2944,38.6680,2.2822,28.5270
245,19.5200,147.5551,70.2134,116.0000,center,q4,0.0000,61.3580,36.5779,2.2822,28.5270
246,19.6000,145.7731,71.6391,106.0000,center,q4,0.0000,63.3674,34.5122,2.2822,28.5270
247,19.6800,143.9910,73.0647,106.0000,center,q4,0.0000,65.3705,32.4755,2.2822,28.5270
248,19.7600,142.2089,74.8468,110.0000,center,q4,0.0000,67.6341,30.1425,2.5202,31.5028
